fixture_id,fixture_date,fixture_timestamp,league_id,league_name,league_country,league_season,league_round,teams_home_id,teams_home_name,teams_home_winner,teams_away_id,teams_away_name,teams_away_winner,goals_home,goals_away,score_halftime_home,score_halftime_away,halftime_goals_total,fulltime_goals_total,match_result,halftime_match_result,fulltime_match_result
27626,2018-10-20 14:00:00+00:00,1540044000,141,Segunda Division,Spain,2018,Regular Season - 10,718,Oviedo,True,727,Osasuna,False,2,1,0,1,1,3,1,0:1,2:1
27627,2018-10-21 16:00:00+00:00,1540137600,141,Segunda Division,Spain,2018,Regular Season - 10,729,Reus,True,861,Rayo Majadahonda,False,2,1,0,0,0,3,1,0:0,2:1
27628,2018-10-21 18:00:00+00:00,1540144800,141,Segunda Division,Spain,2018,Regular Season - 10,732,Zaragoza,,719,Tenerife,,1,1,0,0,0,2,0,0:0,1:1
27629,2018-10-27 14:00:00+00:00,1540648800,141,Segunda Division,Spain,2018,Regular Season - 11,544,Deportivo La Coruna,True,729,Reus,False,2,0,1,0,1,2,1,1:0,2:0
27630,2018-10-28 19:30:00+00:00,1540755000,141,Segunda Division,Spain,2018,Regular Season - 11,797,Elche,True,732,Zaragoza,False,2,0,1,0,1,2,1,1:0,2:0
27631,2018-10-28 17:00:00+00:00,1540746000,141,Segunda Division,Spain,2018,Regular Season - 11,860,Extremadura,False,722,Albacete,True,1,2,1,1,2,3,2,1:1,1:2
27632,2018-10-28 11:00:00+00:00,1540724400,141,Segunda Division,Spain,2018,Regular Season - 11,714,Gimnastic,True,718,Oviedo,False,2,1,1,0,1,3,1,1:0,2:1
27633,2018-10-27 16:00:00+00:00,1540656000,141,Segunda Division,Spain,2018,Regular Season - 11,715,Granada CF,True,723,Almeria,False,1,0,0,0,0,1,1,0:0,1:0
27634,2018-10-27 18:30:00+00:00,1540665000,141,Segunda Division,Spain,2018,Regular Season - 11,716,Lugo,False,724,Cadiz,True,1,2,1,1,2,3,2,1:1,1:2
27635,2018-10-29 20:00:00+00:00,1540843200,141,Segunda Division,Spain,2018,Regular Season - 11,535,Malaga,True,717,Numancia,False,2,0,1,0,1,2,1,1:0,2:0
27636,2018-10-27 16:00:00+00:00,1540656000,141,Segunda Division,Spain,2018,Regular Season - 11,798,Mallorca,,534,Las Palmas,,2,2,2,2,4,4,0,2:2,2:2
27637,2018-10-28 17:00:00+00:00,1540746000,141,Segunda Division,Spain,2018,Regular Season - 11,861,Rayo Majadahonda,,727,Osasuna,,1,1,0,0,0,2,0,0:0,1:1
27638,2018-10-26 19:00:00+00:00,1540580400,141,Segunda Division,Spain,2018,Regular Season - 11,731,Sporting Gijon,,713,Cordoba,,0,0,0,0,0,0,0,0:0,0:0
27639,2018-10-27 18:30:00+00:00,1540665000,141,Segunda Division,Spain,2018,Regular Season - 11,719,Tenerife,True,711,Alcorcon,False,3,2,0,2,2,5,1,0:2,3:2
27640,2018-11-02 20:00:00+00:00,1541188800,141,Segunda Division,Spain,2018,Regular Season - 12,722,Albacete,True,714,Gimnastic,False,2,0,2,0,2,2,1,2:0,2:0
27641,2018-11-04 17:00:00+00:00,1541350800,141,Segunda Division,Spain,2018,Regular Season - 12,711,Alcorcon,True,861,Rayo Majadahonda,False,2,0,1,0,1,2,1,1:0,2:0
27642,2018-11-04 17:00:00+00:00,1541350800,141,Segunda Division,Spain,2018,Regular Season - 12,723,Almeria,True,731,Sporting Gijon,False,2,1,1,1,2,3,1,1:1,2:1
27643,2018-11-04 11:00:00+00:00,1541329200,141,Segunda Division,Spain,2018,Regular Season - 12,724,Cadiz,True,797,Elche,False,5,1,0,1,1,6,1,0:1,5:1
27644,2018-11-03 19:00:00+00:00,1541271600,141,Segunda Division,Spain,2018,Regular Season - 12,713,Cordoba,True,860,Extremadura,False,4,2,1,1,2,6,1,1:1,4:2
27645,2018-11-03 19:30:00+00:00,1541273400,141,Segunda Division,Spain,2018,Regular Season - 12,534,Las Palmas,,544,Deportivo La Coruna,,1,1,0,0,0,2,0,0:0,1:1
27646,2018-11-03 17:00:00+00:00,1541264400,141,Segunda Division,Spain,2018,Regular Season - 12,717,Numancia,True,719,Tenerife,False,2,0,0,0,0,2,1,0:0,2:0
27647,2018-11-03 17:00:00+00:00,1541264400,141,Segunda Division,Spain,2018,Regular Season - 12,727,Osasuna,True,535,Malaga,False,2,1,0,1,1,3,1,0:1,2:1
27648,2018-11-04 15:00:00+00:00,1541343600,141,Segunda Division,Spain,2018,Regular Season - 12,718,Oviedo,,798,Mallorca,,1,1,1,0,1,2,0,1:0,1:1
27649,2018-11-03 15:00:00+00:00,1541257200,141,Segunda Division,Spain,2018,Regular Season - 12,729,Reus,,716,Lugo,,0,0,0,0,0,0,0,0:0,0:0
27650,2018-11-04 19:30:00+00:00,1541359800,141,Segunda Division,Spain,2018,Regular Season - 12,732,Zaragoza,False,715,Granada CF,True,0,2,0,2,2,2,2,0:2,0:2
27651,2018-11-10 15:00:00+00:00,1541862000,141,Segunda Division,Spain,2018,Regular Season - 13,724,Cadiz,True,729,Reus,False,2,0,1,0,1,2,1,1:0,2:0
27652,2018-11-10 19:30:00+00:00,1541878200,141,Segunda Division,Spain,2018,Regular Season - 13,544,Deportivo La Coruna,True,718,Oviedo,False,4,0,1,0,1,4,1,1:0,4:0
27653,2018-11-10 19:30:00+00:00,1541878200,141,Segunda Division,Spain,2018,Regular Season - 13,797,Elche,,534,Las Palmas,,0,0,0,0,0,0,0,0:0,0:0
27654,2018-11-10 17:00:00+00:00,1541869200,141,Segunda Division,Spain,2018,Regular Season - 13,860,Extremadura,False,727,Osasuna,True,2,3,2,1,3,5,2,2:1,2:3
27655,2018-11-12 20:00:00+00:00,1542052800,141,Segunda Division,Spain,2018,Regular Season - 13,714,Gimnastic,False,732,Zaragoza,True,1,3,1,1,2,4,2,1:1,1:3
27656,2018-11-11 11:00:00+00:00,1541934000,141,Segunda Division,Spain,2018,Regular Season - 13,715,Granada CF,,717,Numancia,,0,0,0,0,0,0,0,0:0,0:0
27657,2018-11-10 17:00:00+00:00,1541869200,141,Segunda Division,Spain,2018,Regular Season - 13,716,Lugo,False,711,Alcorcon,True,0,1,0,0,0,1,2,0:0,0:1
27658,2018-11-11 17:00:00+00:00,1541955600,141,Segunda Division,Spain,2018,Regular Season - 13,798,Mallorca,True,713,Cordoba,False,3,0,0,0,0,3,1,0:0,3:0
27659,2018-11-11 15:00:00+00:00,1541948400,141,Segunda Division,Spain,2018,Regular Season - 13,861,Rayo Majadahonda,True,723,Almeria,False,2,0,1,0,1,2,1,1:0,2:0
27660,2018-11-11 17:00:00+00:00,1541955600,141,Segunda Division,Spain,2018,Regular Season - 13,731,Sporting Gijon,,535,Malaga,,2,2,0,0,0,4,0,0:0,2:2
27661,2018-11-11 19:00:00+00:00,1541962800,141,Segunda Division,Spain,2018,Regular Season - 13,719,Tenerife,,722,Albacete,,0,0,0,0,0,0,0,0:0,0:0
27662,2018-11-18 17:00:00+00:00,1542560400,141,Segunda Division,Spain,2018,Regular Season - 14,722,Albacete,True,716,Lugo,False,1,0,0,0,0,1,1,0:0,1:0
27663,2018-11-18 17:00:00+00:00,1542560400,141,Segunda Division,Spain,2018,Regular Season - 14,711,Alcorcon,True,797,Elche,False,1,0,0,0,0,1,1,0:0,1:0
